PlayerID,shooterName,Correlation,TotalShots,TeamAbbrev_x
8477492,Nathan MacKinnon,0.2500534918872398,289,COL
8479318,Auston Matthews,0.5388115693690916,289,TOR
8477956,David Pastrnak,0.2094298424415841,288,BOS
8480801,Brady Tkachuk,0.27335382040302536,259,OTT
8477939,William Nylander,0.34934498739263825,237,TOR
8476453,Nikita Kucherov,0.3375059794299194,234,TBL
8475166,John Tavares,0.41334983454880087,225,TOR
8478550,Artemi Panarin,0.38833292955729304,225,NYR
8471214,Alex Ovechkin,0.3532098837107505,214,WSH
8476887,Filip Forsberg,0.1915195057462492,209,NSH
8471675,Sidney Crosby,0.11275948878927117,207,PIT
8480015,Owen Tippett,0.13282287719265565,200,PHI
8481540,Cole Caufield,0.26857966468615274,199,MTL
8475172,Nazem Kadri,0.312608036316878,197,CGY
8475184,Chris Kreider,0.3392347010597889,196,NYR
8477404,Jake Guentzel,0.2178974111088884,192,PIT
8477404,Jake Guentzel,0.2178974111088884,192,CAR
8478403,Jack Eichel,0.5318477092258428,191,VGK
8479420,Tage Thompson,0.3300725492785305,189,BUF
8479314,Matthew Tkachuk,0.17660421737414597,189,FLA
8478420,Mikko Rantanen,0.40460980670073365,180,COL
8478366,Frank Vatrano,0.2997525528927879,178,ANA
8482109,Alexis Lafrenière,0.44381832347820266,175,NYR
8479337,Alex DeBrincat,0.01839070367030772,175,DET
8477960,Adrian Kempe,0.2088118904750711,175,LAK
8475754,Brock Nelson,0.3699972839634244,174,NYI
8475786,Zach Hyman,0.4770401877426191,173,EDM
8482175,JJ Peterka,0.4192932910377043,172,BUF
8478864,Kirill Kaprizov,0.2803680292049101,172,MIN
8478402,Connor McDavid,0.12624880550122902,171,EDM
8478010,Brayden Point,0.19580457545538588,170,TBL
8474600,Roman Josi,0.19627025393221553,170,NSH
8480839,Rasmus Dahlin,0.20128602713862187,169,BUF
8479675,Trevor Moore,0.27842418789418666,169,LAK
8476459,Mika Zibanejad,0.26785746550612677,167,NYR
8478493,Joel Eriksson Ek,0.33639199616759813,165,MIN
8480039,Martin Necas,0.2998112033690447,165,CAR
8479385,Jordan Kyrou,0.23302182479359992,164,STL
8479407,Jesper Bratt,0.3586399494679493,163,NJD
8478439,Travis Konecny,-0.035673862061587056,161,PHI
8476389,Vincent Trocheck,0.2546328678654182,161,NYR
8474578,Erik Karlsson,0.27361688035649506,160,PIT
8477942,Kevin Fiala,0.03180460682794183,160,LAK
8481557,Matt Boldy,0.3308267505852111,160,MIN
8482740,Wyatt Johnston,0.3154154462318365,159,DAL
8480027,Jason Robertson,0.26291187423156726,159,DAL
8478445,Mathew Barzal,0.327876061841536,158,NYI
8477933,Sam Reinhart,0.13300039315640153,157,FLA
8471215,Evgeni Malkin,0.15586129824560543,157,PIT
8481559,Jack Hughes,0.5716982048827813,157,NJD
8477409,Carter Verhaeghe,0.048028907155836825,157,FLA
8475151,Kyle Palmieri,0.3582567770804232,156,NYI
8477946,Dylan Larkin,0.23026518379513808,155,DET
8477500,Bo Horvat,0.18583155777935362,154,NYI
8475810,Bryan Rust,0.40809083623757136,151,PIT
8474150,Mikael Backlund,0.2477940984799301,151,CGY
8481528,Dylan Cozens,0.2893675695684767,150,BUF
8473419,Brad Marchand,0.26074761179071115,150,BOS
8476399,Blake Coleman,0.16130455511031197,149,CGY
8480069,Cale Makar,0.29694869170242466,149,COL
8477346,MacKenzie Weegar,0.3811137571021736,148,CGY
8478460,Zach Werenski,0.22783558086710695,148,CBJ
8477949,Alex Tuch,0.14277542281591452,146,BUF
8477940,Nikolaj Ehlers,0.27118057598956724,145,WPG
8478444,Brock Boeser,0.2739317834418296,145,VAN
8480188,Fabian Zetterlund,0.0681334451227443,144,SJS
8477955,Jared McCann,0.521788266566355,143,SEA
8478414,Timo Meier,0.2133309943737057,142,NJD
8478427,Sebastian Aho,0.008261997272053165,141,CAR
8478398,Kyle Connor,0.21979349113192906,140,WPG
8484144,Connor Bedard,0.221949639214352,139,CHI
8476853,Morgan Rielly,0.33179672617502354,139,TOR
8479542,Brandon Hagel,0.4134806269863901,138,TBL
8478440,Dylan Strome,0.33793612375651605,138,WSH
8479345,Jakob Chychrun,0.11396489320408046,137,OTT
8471724,Kris Letang,0.22228006852845164,136,PIT
8480012,Elias Pettersson,0.13150834412377577,133,VAN
8482116,Tim Stützle,0.21218678028564494,133,OTT
8477402,Pavel Buchnevich,0.20108492148673685,133,STL
8473512,Claude Giroux,0.22172340469994556,132,OTT
8478449,Roope Hintz,0.21434647870329337,132,DAL
8475169,Evander Kane,0.0715660053495591,132,EDM
8474590,John Carlson,0.19538594330117215,132,WSH
8480800,Quinn Hughes,0.5470937272831198,131,VAN
8476468,J.T. Miller,0.3460350384449209,131,VAN
8477934,Leon Draisaitl,-0.09898757604737089,131,EDM
8482093,Seth Jarvis,0.23560425755726933,131,CAR
8478856,Conor Garland,0.09803921568627452,130,VAN
8475167,Victor Hedman,0.09617561617584333,130,TBL
8478542,Evan Rodrigues,0.27998299588788983,130,FLA
8477416,Oliver Bjorkstrand,0.16029297948703858,130,SEA
8481068,Yegor Sharangovich,0.2384203362129891,129,CGY
8474189,Lars Eller,0.13390864820544823,128,PIT
8475314,Anders Lee,0.31019922491935786,128,NYI
8480803,Evan Bouchard,0.022537446792760433,128,EDM
8480208,Drake Batherson,0.11060607344525618,126,OTT
8482078,Lucas Raymond,0.18089800808152348,126,DET
8473994,Jamie Benn,0.3972051723038786,125,DAL
8480036,Miro Heiskanen,0.4586056533785819,125,DAL
8476432,Boone Jenner,0.40160156772706757,125,CBJ
8470613,Brent Burns,0.2586017131056703,124,CAR
8477493,Aleksander Barkov,0.08416341061422956,124,FLA
8480893,Kirill Marchenko,0.2470171375627894,123,CBJ
8477935,Sam Bennett,0.3590109871423002,123,FLA
8475191,Reilly Smith,0.22811087146278272,123,PIT
8478396,Noah Hanifin,-0.055087550569718306,121,CGY
8478396,Noah Hanifin,-0.055087550569718306,121,VGK
8478038,Devon Toews,0.339048600706923,120,COL
8476461,Sean Couturier,0.18890047909801663,120,PHI
8477504,Josh Morrissey,0.21067524290009612,120,WPG
8476483,Rickard Rakell,0.13718973258692774,120,PIT
8478047,Michael Bunting,0.11939406591304179,119,CAR
8478047,Michael Bunting,0.11939406591304179,119,PIT
8476479,Phillip Danault,0.21907989866484875,117,LAK
8478483,Mitch Marner,0.07759716528506377,117,TOR
8476880,Tom Wilson,0.14586868190007846,117,WSH
8478873,Troy Terry,0.16082948491121005,115,ANA
8482113,Anton Lundell,0.16068664461505014,115,FLA
8475692,Mats Zuccarello,0.04017185117076536,114,MIN
8476448,William Karlsson,0.30051610270256585,114,VGK
8476454,Ryan Nugent-Hopkins,0.3806894029522837,114,EDM
8478975,Mason Marchment,-0.021594999440304664,114,DAL
8477426,Nick Paul,0.17172905649128448,113,TBL
8482159,Tyson Foerster,0.2641914647522664,113,PHI
8482105,Jake Sanderson,0.22205369232852787,113,OTT
8477425,Miles Wood,0.455217759978022,113,COL
8480002,Nico Hischier,0.3310477222303717,112,NJD
8480865,Noah Dobson,0.33486759380439174,112,NYI
8476872,Scott Laughton,0.1488997754398599,112,PHI
8479525,Ross Colton,0.14595570889527903,112,COL
8477495,Seth Jones,0.1179636085339738,112,CHI
8475794,Tyler Seguin,0.2717914161090705,112,DAL
8482124,Quinton Byfield,0.28178299593607725,111,LAK
8478055,Gustav Forsling,0.049679200942312166,111,FLA
8475799,Nino Niederreiter,0.17093909009478908,111,WPG
8473422,Nick Foligno,0.3474267539345751,110,CHI
8474586,Jordan Eberle,0.15023933225360311,110,SEA
8480797,Joel Farabee,0.3775098140166137,110,PHI
8482055,Drew O'Connor,0.07803439501226568,110,PIT
8476875,Mike Matheson,0.07792583320294383,110,MTL
8477498,Darnell Nurse,0.37845698953515183,109,EDM
8480023,Robert Thomas,0.2567917555451053,108,STL
8475158,Ryan O'Reilly,0.3762147142668764,108,NSH
8482259,Bobby McMann,-0.03414781444049888,108,TOR
8475170,Brayden Schenn,0.04119099689560395,108,STL
8481580,Connor McMichael,0.16399630281230396,107,WSH
8479591,Michael Eyssimont,0.25888061490840697,107,TBL
8481624,Ilya Mikheyev,0.2241182629185431,107,VAN
8476958,Jaccob Slavin,0.2500270460324261,107,CAR
8479323,Adam Fox,0.1015007703484979,107,NYR
8478397,Rasmus Andersson,0.089780489374993,107,CGY
8480018,Nick Suzuki,0.2050253729395702,106,MTL
8475287,Erik Haula,-0.13103512256185587,106,NJD
8478401,Pavel Zacha,0.21459876881973802,106,BOS
8477451,Ryan Hartman,0.24707919387789684,106,MIN
8482705,Cole Sillinger,-0.06466298184386457,105,CBJ
8475745,Charlie Coyle,0.3662654995764884,105,BOS
8482146,Luke Evangelista,0.2667449830445586,104,NSH
8482079,Marco Rossi,0.32941205697116754,104,MIN
8475218,Mattias Ekholm,0.20386906157746598,104,EDM
8482155,Alex Laferriere,0.14590541859090705,104,LAK
8480830,Andrei Svechnikov,0.1793768857562842,103,CAR
8479425,Filip Hronek,0.3331936694584513,103,VAN
8480009,Eeli Tolvanen,0.17856726763529504,102,SEA
8476456,Jonathan Huberdeau,0.3465730926829954,101,CGY
8476892,Colton Parayko,0.20029361268927448,101,STL
8476826,Yanni Gourde,0.11961367995523106,101,SEA
8474563,Drew Doughty,0.45863712088371184,100,LAK
8479325,Charlie McAvoy,0.18142689309984703,100,BOS
8479400,Pierre-Luc Dubois,0.20283759210705427,100,LAK
8476460,Mark Scheifele,0.35933705262747523,99,WPG
8474679,Gustav Nyquist,0.3493707991868534,99,NSH
8476885,Jacob Trouba,0.1699049765728467,98,NYR
8481542,Moritz Seider,0.29289437031873417,97,DET
8481581,Thomas Harley,0.3197262193890429,97,DAL
8482157,Will Cuylle,0.24006944268395228,97,NYR
8476469,Joel Armia,0.034187243364946246,97,MTL
8478472,Mathieu Joseph,0.0996468792593251,96,OTT
8479999,Casey Mittelstadt,0.3012024297857221,96,COL
8482720,Matthew Knies,0.25664569610921173,96,TOR
8479987,Morgan Geekie,0.26924925125789956,96,BOS
8479999,Casey Mittelstadt,0.3012024297857221,96,BUF
8476792,Torey Krug,-0.02313504344773631,95,STL
8475200,Dmitry Orlov,0.07497534111391507,95,CAR
8474141,Patrick Kane,0.002999988000071957,95,DET
8478519,Anthony Cirelli,0.3950645689039867,95,TBL
8477948,Travis Sanheim,0.1888479424470483,93,PHI
8476438,Brandon Saad,0.1483713653091918,92,STL
8476918,Jimmy Vesey,0.21773597648283233,92,NYR
8476881,Tomas Hertl,0.27328866887307485,91,SJS
8476881,Tomas Hertl,0.27328866887307485,91,VGK
8476463,Jonas Brodin,0.1921002193071544,91,MIN
8482745,Mason McTavish,0.2808531323517689,91,ANA
8476346,Johnny Gaudreau,0.26339297131628303,90,CBJ
8476981,Josh Anderson,0.295762387693659,90,MTL
8482667,William Eklund,0.385507610685219,90,SJS
8477987,Ryan Donato,0.3227486121839515,90,CHI
8476312,Josh Manson,0.18012478337720544,90,COL
8471685,Anze Kopitar,0.09921699781314051,89,LAK
8475763,Kevin Hayes,0.3392877318171191,89,STL
8479365,Trent Frederic,0.21188443463901527,89,BOS
8482110,Dawson Mercer,0.2747639509949459,89,NJD
8483515,Juraj Slafkovsky,0.4123795817689907,88,MTL
8473533,Jordan Staal,0.21041463233296537,87,CAR
8482665,Matty Beniers,0.24085576259489275,87,SEA
8477450,Jason Dickinson,0.10780675225987538,87,CHI
8477964,Ivan Barbashev,0.011361569211309614,87,VGK
8478462,Nicolas Roy,0.05133570191803325,86,VGK
8481028,Martin Pospisil,0.09365902549151063,86,CGY
8482089,Jake Neighbours,0.13414693733878752,86,STL
8475768,Jaden Schwartz,0.1553318066384945,86,SEA
8481535,Nils Hoglander,-0.050185006150796296,85,VAN
8480064,Josh Norris,0.13277257854020993,85,OTT
8478469,Thomas Chabot,0.3816031569832676,85,OTT
8481656,Aliaksei Protas,0.15598455037771158,85,WSH
8480145,Neal Pionk,0.23139111542994217,85,WPG
8480798,Philipp Kurashev,0.5551176099549275,85,CHI
8476458,Ryan Strome,0.2503370106833111,85,ANA
8480028,Morgan Frost,0.33166938169595767,84,PHI
8479983,Mario Ferraro,0.46364937314997723,84,SJS
8482671,Owen Power,0.17496355305594133,84,BUF
8481546,Cam York,0.17788840948547427,84,PHI
8481716,Dmitri Voronkov,0.22977078316142097,84,CBJ
8480185,Eetu Luostarinen,0.17597748388940693,84,FLA
8474565,Alex Pietrangelo,0.0,84,VGK
8475798,Mikael Granlund,0.042406935605712466,83,SJS
8476925,Colton Sissons,0.14496889185544243,83,NSH
8482149,Cole Perfetti,0.21256884357002737,83,WPG
8478115,Pierre Engvall,0.1905039418872322,83,NYI
8483808,Andrei Kuzmenko,0.21657889852384812,82,CGY
8476902,Esa Lindell,0.007789318043251654,82,DAL
8478233,Andrew Mangiapane,-0.03021339598389621,82,CGY
8483808,Andrei Kuzmenko,0.21657889852384812,82,VAN
8480829,Jesperi Kotkaniemi,0.13132265754411618,81,CAR
8478407,Vince Dunn,0.16434416022785941,81,SEA
8477429,Andrew Copp,-0.09061779828407697,81,DET
8479359,Beck Malenstyn,-0.14425898228692483,81,WSH
8478013,Jake Walman,0.26337248503469995,81,DET
8476457,Adam Larsson,0.42365765249518267,81,SEA
8475753,Justin Faulk,0.4082639877707642,81,STL
8477969,Marcus Pettersson,0.3474424409143305,81,PIT
8480113,Alex Iafallo,0.18959704077713352,80,WPG
8477476,Artturi Lehkonen,0.17651618198059316,80,COL
8482073,Braden Schneider,0.052263274330322906,79,NYR
8477456,J.T. Compher,0.22755092105232733,79,DET
8482684,Luke Hughes,0.05108811412463316,79,NJD
8482125,Alexander Holtz,0.24701286122105146,79,NJD
8475848,Brendan Gallagher,0.012271464199658811,79,MTL
8478891,Mason Appleton,-0.11181842520378177,78,WPG
8480068,Ryan Poehling,-0.01848448107183259,78,PHI
8481596,Shane Pinto,0.1413920045424545,78,OTT
8473986,Alex Killorn,0.4599143191957427,78,ANA
8479992,Michael Rasmussen,0.21172892979072686,77,DET
8477932,Aaron Ekblad,0.3514219417066859,77,FLA
8480459,Pius Suter,0.14579460945600609,77,VAN
8482122,Brock Faber,0.1668722023833704,77,MIN
8471698,T.J. Oshie,0.014286785388493511,77,WSH
8480817,K'Andre Miller,0.13621844200332126,75,NYR
8481604,Pavel Dorofeyev,0.06734009573154955,75,VGK
8476467,Jamie Oleksiak,0.18824837927591018,75,SEA
8482092,Ridly Greig,0.17450987923047978,75,OTT
8480074,Alexandre Texier,0.14322832843744854,75,CBJ
8478882,Vladislav Gavrikov,0.07077560594724024,75,LAK
8484166,Adam Fantilli,0.2705018380614424,75,CBJ
8477952,Robby Fabbri,0.1280672476687502,74,DET
8476372,Nick Seeler,-0.06783689006710399,74,PHI
8476854,Hampus Lindholm,0.15818332310609487,74,BOS
8480835,Jack Drury,-0.041499441361994356,74,CAR
8484153,Leo Carlsson,0.5469453060991263,74,ANA
8481014,Alexander Romanov,-0.04447952370027213,74,NYI
8475764,Cam Fowler,0.1515294127325456,73,ANA
8482475,Yegor Chinakhov,0.17403078528819352,72,CBJ
8481560,Arthur Kaliyev,0.30987649672642703,72,LAK
8476419,Jean-Gabriel Pageau,0.029012942659282986,72,NYI
